candidate_value,seed,commit_ordinal,frame_index,spnet_age_protected,spnet_age_protected_spnet_completed,remaining_spnet_completed,mature_opacity_removed_spnet_completed,run_dir
1,0,110,544,0,0,56386,1419,/home/haibo/Documents/Thesis/07_临时文件/标定试验/worktrees/calib-spnet-min-prune-age/experiments/spnet-min-prune-age/runs/age_1/seed0
1,0,111,549,0,0,56829,1233,/home/haibo/Documents/Thesis/07_临时文件/标定试验/worktrees/calib-spnet-min-prune-age/experiments/spnet-min-prune-age/runs/age_1/seed0
1,0,112,554,0,0,57361,1097,/home/haibo/Documents/Thesis/07_临时文件/标定试验/worktrees/calib-spnet-min-prune-age/experiments/spnet-min-prune-age/runs/age_1/seed0
1,0,113,559,0,0,57813,1232,/home/haibo/Documents/Thesis/07_临时文件/标定试验/worktrees/calib-spnet-min-prune-age/experiments/spnet-min-prune-age/runs/age_1/seed0
1,0,114,564,0,0,57985,1307,/home/haibo/Documents/Thesis/07_临时文件/标定试验/worktrees/calib-spnet-min-prune-age/experiments/spnet-min-prune-age/runs/age_1/seed0
1,0,115,569,0,0,58099,1362,/home/haibo/Documents/Thesis/07_临时文件/标定试验/worktrees/calib-spnet-min-prune-age/experiments/spnet-min-prune-age/runs/age_1/seed0
1,0,116,574,0,0,58094,1301,/home/haibo/Documents/Thesis/07_临时文件/标定试验/worktrees/calib-spnet-min-prune-age/experiments/spnet-min-prune-age/runs/age_1/seed0
1,0,117,579,0,0,58593,1274,/home/haibo/Documents/Thesis/07_临时文件/标定试验/worktrees/calib-spnet-min-prune-age/experiments/spnet-min-prune-age/runs/age_1/seed0
1,0,118,584,0,0,59225,1562,/home/haibo/Documents/Thesis/07_临时文件/标定试验/worktrees/calib-spnet-min-prune-age/experiments/spnet-min-prune-age/runs/age_1/seed0
1,0,119,589,0,0,59397,1929,/home/haibo/Documents/Thesis/07_临时文件/标定试验/worktrees/calib-spnet-min-prune-age/experiments/spnet-min-prune-age/runs/age_1/seed0
1,0,120,594,0,0,59163,1964,/home/haibo/Documents/Thesis/07_临时文件/标定试验/worktrees/calib-spnet-min-prune-age/experiments/spnet-min-prune-age/runs/age_1/seed0
1,0,121,599,0,0,59380,1349,/home/haibo/Documents/Thesis/07_临时文件/标定试验/worktrees/calib-spnet-min-prune-age/experiments/spnet-min-prune-age/runs/age_1/seed0
1,0,122,604,0,0,59772,1167,/home/haibo/Documents/Thesis/07_临时文件/标定试验/worktrees/calib-spnet-min-prune-age/experiments/spnet-min-prune-age/runs/age_1/seed0
